SIMULATION SUMMARY
MapName,RoutingAlgorithm,Version,TotalVehicles,LateVehicles,TotalTravelTime,AvgTravelTime,TotalTimeWindowDeviation,AvgTimeWindowDeviation,TotalAlgorithmTime,AvgAlgorithmTime,ObjectiveFunctionValue,Timestamp
erlangen,ShortestPath,2.0,8,7,955,119.375,154.209,19.2761,0.0102035,0.00127544,1109.21,2025-07-07 23:11:58

VEHICLE STATISTICS
VehicleID,StartRoad,TargetRoad,StartTime,EndTime,TravelTime,EarliestArrival,LatestArrival,TimeWindowDeviation,ArrivedOnTime,PathLength
16,873,1259,1,205,204,127.638,191.457,13.5429,No,1450.31
22,60,1777,1,57,56,25.9978,38.9967,18.0033,No,606.34
28,-831,2169,1,119,118,64.3832,96.5748,22.4252,No,1218.71
34,-592,474,1,94,93,104.454,156.681,10.4543,No,963.87
40,-588,1785,1,163,162,99.2218,148.833,14.1673,No,1480.22
46,-1755,11,1,93,92,79.4532,119.18,0,Yes,978.94
52,2151,190,1,67,66,106.769,160.154,39.7693,No,1346.38
58,831,1988,1,165,164,86.1024,129.154,35.8464,No,1422.3
