SIMULATION SUMMARY
MapName,RoutingAlgorithm,Version,TotalVehicles,LateVehicles,TotalTravelTime,AvgTravelTime,TotalTimeWindowDeviation,AvgTimeWindowDeviation,TotalAlgorithmTime,AvgAlgorithmTime,ObjectiveFunctionValue,Timestamp
erlangen,ShortestPath,2.0,32,15,3571,111.594,463.414,14.4817,0.173792,0.005431,4034.41,2025-06-15 07:57:06

VEHICLE STATISTICS
VehicleID,StartRoad,TargetRoad,StartTime,EndTime,TravelTime,EarliestArrival,LatestArrival,TimeWindowDeviation,ArrivedOnTime,PathLength
16,873,-1212,1,54,53,40.2781,60.4172,0,Yes,519.44
22,60,1925,1,93,92,70.7255,106.088,0,Yes,898.79
28,-831,2284,1,164,163,120.644,180.966,0,Yes,1457.58
34,-592,-148,1,95,94,77.3417,116.013,0,Yes,936.97
40,-588,92,1,174,173,58.8135,88.2202,85.7798,No,936.01
46,-1755,-2149,1,39,38,49.0775,73.6163,10.0775,No,407.74
52,2151,1951,1,69,68,140.037,210.055,71.0367,No,1927.09
58,831,-2284,1,181,180,129.925,194.887,0,Yes,1507.85
64,-5,-2316,1,128,127,81.4663,122.199,5.80052,No,1330.18
70,474,-1918,1,63,62,43.1558,64.7337,0,Yes,722.45
76,109,-1925,1,150,149,83.0397,124.56,25.4404,No,973.65
82,58,1994,1,96,95,75.1339,112.701,0,Yes,887.86
88,-3,-444,1,55,54,34.3156,51.4733,3.52666,No,567.96
94,583,-1960,1,55,54,28.3794,42.5691,12.4309,No,543.24
100,-2182,-1204,1,225,224,138.033,207.05,17.9499,No,1613.42
106,64,-2238,1,136,135,112.325,168.488,0,Yes,1345.98
112,-219,1781,1,54,53,36.0824,54.1236,0,Yes,554.04
118,-172,1150,1,225,224,68.5273,102.791,122.209,No,1080.44
124,1992,214,1,101,100,96.4921,144.738,0,Yes,1130.37
130,144,-43,1,92,91,51.8455,77.7682,14.2318,No,657.22
136,162,71,1,131,130,81.7925,122.689,8.31126,No,917.12
142,31,1604,1,148,147,85.2943,127.941,20.0585,No,1055.79
148,587,-229,1,121,120,83.1658,124.749,0,Yes,1106.16
154,-854,-1025,1,73,72,30.954,46.431,26.569,No,578.93
160,45,229,1,101,100,76.7388,115.108,0,Yes,987.98
166,-37,-1987,1,108,107,100.405,150.607,0,Yes,1177.05
172,879,1242,1,50,49,33.5958,50.3937,0,Yes,475.97
178,865,152,1,103,102,79.183,118.774,0,Yes,968.12
184,1148,E9,1,182,181,144.728,217.091,0,Yes,1734.76
190,1597,1988,1,61,60,27.3938,41.0907,19.9093,No,656.52
196,-1595,-340,1,245,244,149.945,224.918,20.0824,No,1581.2
202,-1154,1211,1,31,30,25.4967,38.245,0,Yes,290.08
